,t,T,s,i,o,c,h,l,v,n
0,2020-08-19,2020-08-19 23:59:59.999,ETH,1d,421.92,407.46,426.75,393.25,978339.69221,455992
1,2020-08-20,2020-08-20 23:59:59.999,ETH,1d,407.46,415.94,418.98,402.07,663555.73445,322537
2,2020-08-21,2020-08-21 23:59:59.999,ETH,1d,415.94,387.97,418.68,385.1,860998.7256,414222
3,2020-08-22,2020-08-22 23:59:59.999,ETH,1d,387.93,395.24,397.04,379.92,643235.76543,305450
4,2020-08-23,2020-08-23 23:59:59.999,ETH,1d,395.23,390.71,396.95,383.15,445317.81989,222729
5,2020-08-24,2020-08-24 23:59:59.999,ETH,1d,390.72,407.68,410.42,387.44,717403.81877,307676
6,2020-08-25,2020-08-25 23:59:59.999,ETH,1d,407.68,382.93,409.06,370.0,970445.38395,411636
7,2020-08-26,2020-08-26 23:59:59.999,ETH,1d,382.91,385.81,392.91,377.37,738690.7794,351141
8,2020-08-27,2020-08-27 23:59:59.999,ETH,1d,385.81,383.27,397.1,371.48,877763.73658,392116
9,2020-08-28,2020-08-28 23:59:59.999,ETH,1d,383.31,395.11,398.0,379.75,732601.46905,311832
10,2020-08-29,2020-08-29 23:59:59.999,ETH,1d,395.1,398.65,405.69,391.88,659802.63344,300090
11,2020-08-30,2020-08-30 23:59:59.999,ETH,1d,398.65,428.94,429.89,398.3,894979.71788,395838
12,2020-08-31,2020-08-31 23:59:59.999,ETH,1d,428.94,433.79,439.0,418.04,1040748.68881,456201
13,2020-09-01,2020-09-01 23:59:59.999,ETH,1d,433.8,475.4,488.84,429.03,1751354.57719,763508
14,2020-09-02,2020-09-02 23:59:59.999,ETH,1d,475.4,439.5,481.39,420.0,1880642.46853,825133
15,2020-09-03,2020-09-03 23:59:59.999,ETH,1d,439.5,381.4,450.7,372.0,2408569.34151,903066
16,2020-09-04,2020-09-04 23:59:59.999,ETH,1d,381.35,385.26,400.21,357.0,1806488.22474,744610
17,2020-09-05,2020-09-05 23:59:59.999,ETH,1d,385.3,335.01,395.0,308.42,2777166.51389,1074986
18,2020-09-06,2020-09-06 23:59:59.999,ETH,1d,335.04,352.8,360.0,316.1,2017811.14721,852597
19,2020-09-07,2020-09-07 23:59:59.999,ETH,1d,352.85,353.59,358.51,323.0,1740618.42462,708066
20,2020-09-08,2020-09-08 23:59:59.999,ETH,1d,353.59,337.39,356.58,325.38,1400246.82962,554846
21,2020-09-09,2020-09-09 23:59:59.999,ETH,1d,337.41,350.85,359.0,330.51,879760.56255,381038
22,2020-09-10,2020-09-10 23:59:59.999,ETH,1d,350.85,367.93,377.25,349.91,1134287.61137,512819
23,2020-09-11,2020-09-11 23:59:59.999,ETH,1d,367.93,373.63,375.27,355.49,844017.59966,367615
24,2020-09-12,2020-09-12 23:59:59.999,ETH,1d,373.62,387.78,388.57,364.73,766542.31635,318774
25,2020-09-13,2020-09-13 23:59:59.999,ETH,1d,387.78,366.42,390.43,350.0,989195.69047,430236
26,2020-09-14,2020-09-14 23:59:59.999,ETH,1d,366.43,377.12,384.64,355.73,1042059.62265,476828
27,2020-09-15,2020-09-15 23:59:59.999,ETH,1d,377.12,364.06,382.47,362.34,883856.33005,405048
28,2020-09-16,2020-09-16 23:59:59.999,ETH,1d,364.05,365.11,373.45,355.0,841709.98939,371665
29,2020-09-17,2020-09-17 23:59:59.999,ETH,1d,365.04,389.36,394.14,363.3,1256300.411,505247
30,2020-09-18,2020-09-18 23:59:59.999,ETH,1d,389.35,384.39,392.58,375.33,804194.47219,323159
31,2020-09-19,2020-09-19 23:59:59.999,ETH,1d,384.4,385.25,388.72,377.0,570908.33553,230924
32,2020-09-20,2020-09-20 23:59:59.999,ETH,1d,385.25,371.04,385.45,365.0,693164.40144,275295
33,2020-09-21,2020-09-21 23:59:59.999,ETH,1d,371.04,340.36,376.8,331.0,1283946.03098,472560
34,2020-09-22,2020-09-22 23:59:59.999,ETH,1d,340.31,344.21,346.91,335.34,842731.12878,286593
35,2020-09-23,2020-09-23 23:59:59.999,ETH,1d,344.18,320.72,344.65,313.29,940904.49756,323226
36,2020-09-24,2020-09-24 23:59:59.999,ETH,1d,320.72,348.97,353.1,316.67,1071705.09721,371450
37,2020-09-25,2020-09-25 23:59:59.999,ETH,1d,348.97,351.92,358.0,337.58,860643.77924,310536
38,2020-09-26,2020-09-26 23:59:59.999,ETH,1d,351.93,353.92,356.4,345.88,530879.20755,217834
39,2020-09-27,2020-09-27 23:59:59.999,ETH,1d,353.95,357.49,362.14,347.24,569568.55041,230526
40,2020-09-28,2020-09-28 23:59:59.999,ETH,1d,357.58,353.96,368.2,351.7,757758.4304,261317
41,2020-09-29,2020-09-29 23:59:59.999,ETH,1d,353.91,359.79,360.63,350.45,585143.16892,214988
42,2020-09-30,2020-09-30 23:59:59.999,ETH,1d,359.78,359.83,361.5,351.56,498943.23226,173910
43,2020-10-01,2020-10-01 23:59:59.999,ETH,1d,359.83,352.85,370.45,345.51,758349.31959,288354
44,2020-10-02,2020-10-02 23:59:59.999,ETH,1d,352.83,345.6,354.55,334.24,733571.84211,286023
45,2020-10-03,2020-10-03 23:59:59.999,ETH,1d,345.6,345.95,351.0,343.7,303595.71901,136755
46,2020-10-04,2020-10-04 23:59:59.999,ETH,1d,345.94,352.37,354.45,343.81,343932.91712,138736
47,2020-10-05,2020-10-05 23:59:59.999,ETH,1d,352.34,353.62,356.1,348.54,376740.30692,145787
48,2020-10-06,2020-10-06 23:59:59.999,ETH,1d,353.63,340.75,355.1,336.8,640063.26951,240812
49,2020-10-07,2020-10-07 23:59:59.999,ETH,1d,340.8,341.58,342.85,332.18,541928.86376,195112
50,2020-10-08,2020-10-08 23:59:59.999,ETH,1d,341.58,350.95,353.32,334.21,631794.8756,220053
51,2020-10-09,2020-10-09 23:59:59.999,ETH,1d,350.94,365.02,368.33,347.32,650478.19338,241168
52,2020-10-10,2020-10-10 23:59:59.999,ETH,1d,365.01,370.52,378.4,364.71,591005.32129,253825
53,2020-10-11,2020-10-11 23:59:59.999,ETH,1d,370.51,374.16,377.6,368.87,373318.23779,164475
54,2020-10-12,2020-10-12 23:59:59.999,ETH,1d,374.17,386.51,394.8,365.58,844422.65444,309500
55,2020-10-13,2020-10-13 23:59:59.999,ETH,1d,386.51,381.04,387.75,374.51,645141.91394,239460
56,2020-10-14,2020-10-14 23:59:59.999,ETH,1d,381.05,378.69,387.41,373.13,569557.82936,214375
57,2020-10-15,2020-10-15 23:59:59.999,ETH,1d,378.69,377.64,381.79,369.85,634038.09453,228454
58,2020-10-16,2020-10-16 23:59:59.999,ETH,1d,377.63,365.5,379.83,361.18,654029.36404,255775
59,2020-10-17,2020-10-17 23:59:59.999,ETH,1d,365.5,368.32,370.46,363.36,285578.24537,126045
60,2020-10-18,2020-10-18 23:59:59.999,ETH,1d,368.31,378.11,378.64,367.1,323468.47095,133043
61,2020-10-19,2020-10-19 23:59:59.999,ETH,1d,378.12,379.3,384.32,372.5,577252.90265,224887
62,2020-10-20,2020-10-20 23:59:59.999,ETH,1d,379.3,368.52,380.73,365.27,617309.81677,251051
63,2020-10-21,2020-10-21 23:59:59.999,ETH,1d,368.53,390.38,401.49,367.74,1221663.63784,450963
64,2020-10-22,2020-10-22 23:59:59.999,ETH,1d,390.31,413.98,420.73,390.21,1095897.20667,412013
65,2020-10-23,2020-10-23 23:59:59.999,ETH,1d,413.94,409.11,419.33,401.3,727832.3224,293671
66,2020-10-24,2020-10-24 23:59:59.999,ETH,1d,409.19,412.14,416.66,407.0,419236.87106,182680
67,2020-10-25,2020-10-25 23:59:59.999,ETH,1d,412.14,405.86,417.4,402.5,415586.9761,177854
68,2020-10-26,2020-10-26 23:59:59.999,ETH,1d,405.85,392.52,411.11,382.3,895142.67266,329493
69,2020-10-27,2020-10-27 23:59:59.999,ETH,1d,392.52,403.45,410.25,389.9,754261.74114,286241
70,2020-10-28,2020-10-28 23:59:59.999,ETH,1d,403.41,388.23,409.2,380.52,855275.46882,348661
71,2020-10-29,2020-10-29 23:59:59.999,ETH,1d,388.22,387.13,393.72,380.52,573096.01416,248649
72,2020-10-30,2020-10-30 23:59:59.999,ETH,1d,387.12,382.49,391.97,373.29,771750.74746,289735
73,2020-10-31,2020-10-31 23:59:59.999,ETH,1d,382.59,386.46,394.88,379.9,467453.8105,218528
74,2020-11-01,2020-11-01 23:59:59.999,ETH,1d,386.44,396.67,398.29,384.61,438952.95565,181369
75,2020-11-02,2020-11-02 23:59:59.999,ETH,1d,396.68,383.02,404.5,377.92,779968.57957,290370
76,2020-11-03,2020-11-03 23:59:59.999,ETH,1d,383.01,387.88,390.0,370.23,752954.37114,280412
77,2020-11-04,2020-11-04 23:59:59.999,ETH,1d,387.88,402.49,408.39,376.47,1157064.35076,392310
78,2020-11-05,2020-11-05 23:59:59.999,ETH,1d,402.5,416.69,420.4,396.14,1475139.77342,513574
79,2020-11-06,2020-11-06 23:59:59.999,ETH,1d,416.73,455.91,458.27,414.76,1682440.96026,666505
80,2020-11-07,2020-11-07 23:59:59.999,ETH,1d,455.91,435.21,468.28,424.14,1653416.5961,674858
81,2020-11-08,2020-11-08 23:59:59.999,ETH,1d,435.2,454.3,460.1,431.99,840908.46841,354341
82,2020-11-09,2020-11-09 23:59:59.999,ETH,1d,454.29,444.32,459.1,433.09,1099213.24641,469947
83,2020-11-10,2020-11-10 23:59:59.999,ETH,1d,444.32,450.34,455.0,438.7,866872.41108,384228
84,2020-11-11,2020-11-11 23:59:59.999,ETH,1d,450.34,463.09,476.25,449.28,1205782.84262,560360
85,2020-11-12,2020-11-12 23:59:59.999,ETH,1d,463.09,462.39,470.0,451.2,990776.62912,411840
86,2020-11-13,2020-11-13 23:59:59.999,ETH,1d,462.48,476.43,478.01,457.12,976665.09752,427363
87,2020-11-14,2020-11-14 23:59:59.999,ETH,1d,476.42,460.89,477.47,452.0,735252.7854,350772
88,2020-11-15,2020-11-15 23:59:59.999,ETH,1d,460.9,448.08,462.89,440.19,665217.56671,311451
89,2020-11-16,2020-11-16 23:59:59.999,ETH,1d,448.07,460.55,466.0,445.45,812060.44638,328762
90,2020-11-17,2020-11-17 23:59:59.999,ETH,1d,460.51,482.15,484.88,459.8,1151573.37456,464336
91,2020-11-18,2020-11-18 23:59:59.999,ETH,1d,482.11,478.41,495.31,456.6,1477696.29116,637641
92,2020-11-19,2020-11-19 23:59:59.999,ETH,1d,478.43,471.25,480.75,464.86,817418.52685,404737
93,2020-11-20,2020-11-20 23:59:59.999,ETH,1d,471.26,510.12,514.4,470.65,1516361.90736,607663
94,2020-11-21,2020-11-21 23:59:59.999,ETH,1d,510.12,552.35,553.32,502.82,1548851.29067,649077
95,2020-11-22,2020-11-22 23:59:59.999,ETH,1d,552.42,560.03,580.88,511.28,1850317.93581,768900
96,2020-11-23,2020-11-23 23:59:59.999,ETH,1d,560.03,608.58,610.85,550.12,2076008.84846,896026
97,2020-11-24,2020-11-24 23:59:59.999,ETH,1d,608.58,604.97,623.0,585.0,1606450.49193,838352
98,2020-11-25,2020-11-25 23:59:59.999,ETH,1d,604.98,569.5,606.0,553.83,1219440.02727,657386
99,2020-11-26,2020-11-26 23:59:59.999,ETH,1d,569.38,519.83,577.14,481.0,2683460.74171,1259051
100,2020-11-27,2020-11-27 23:59:59.999,ETH,1d,519.83,518.68,530.62,493.72,1088064.28114,578800
101,2020-11-28,2020-11-28 23:59:59.999,ETH,1d,518.59,537.52,547.94,506.59,900508.61431,456028
102,2020-11-29,2020-11-29 23:59:59.999,ETH,1d,537.5,576.3,576.9,530.32,855276.46664,454026
103,2020-11-30,2020-11-30 23:59:59.999,ETH,1d,576.32,616.66,616.85,570.07,1501989.45408,717837
104,2020-12-01,2020-12-01 23:59:59.999,ETH,1d,616.65,585.26,635.7,560.0,2163875.81376,1018862
105,2020-12-02,2020-12-02 23:59:59.999,ETH,1d,585.26,596.89,604.93,575.0,1069538.65619,604591
106,2020-12-03,2020-12-03 23:59:59.999,ETH,1d,596.88,615.85,623.44,585.82,935687.91723,513555
107,2020-12-04,2020-12-04 23:59:59.999,ETH,1d,615.84,567.24,620.0,565.82,1052452.78666,556641
108,2020-12-05,2020-12-05 23:59:59.999,ETH,1d,567.24,596.8,597.11,560.88,701567.95564,389600
109,2020-12-06,2020-12-06 23:59:59.999,ETH,1d,596.82,601.54,607.5,583.0,602496.96339,363661
110,2020-12-07,2020-12-07 23:59:59.999,ETH,1d,601.59,591.28,603.15,584.22,498329.37589,347036
111,2020-12-08,2020-12-08 23:59:59.999,ETH,1d,591.27,554.94,595.0,549.22,804443.00717,422868
112,2020-12-09,2020-12-09 23:59:59.999,ETH,1d,554.92,573.09,578.08,530.43,997192.16738,535975
113,2020-12-10,2020-12-10 23:59:59.999,ETH,1d,573.2,558.99,575.7,548.11,608414.51466,376548
114,2020-12-11,2020-12-11 23:59:59.999,ETH,1d,558.99,544.43,560.8,535.5,768921.78317,400545
115,2020-12-12,2020-12-12 23:59:59.999,ETH,1d,544.46,568.04,574.0,543.1,573913.95311,321104
116,2020-12-13,2020-12-13 23:59:59.999,ETH,1d,568.09,590.7,595.0,563.22,657794.46158,359525
117,2020-12-14,2020-12-14 23:59:59.999,ETH,1d,590.81,586.29,591.48,575.6,493012.02706,272746
118,2020-12-15,2020-12-15 23:59:59.999,ETH,1d,586.29,588.64,597.2,578.58,569270.52011,329161
119,2020-12-16,2020-12-16 23:59:59.999,ETH,1d,588.78,637.18,640.0,580.71,1185588.05078,589563
120,2020-12-17,2020-12-17 23:59:59.999,ETH,1d,637.18,642.7,676.25,625.76,2006130.01975,974504
121,2020-12-18,2020-12-18 23:59:59.999,ETH,1d,642.71,653.85,664.61,629.4,1000012.98018,554335
122,2020-12-19,2020-12-19 23:59:59.999,ETH,1d,653.76,658.03,669.95,645.42,858803.88459,562281
123,2020-12-20,2020-12-20 23:59:59.999,ETH,1d,658.05,638.18,661.39,621.01,823958.22843,505181
124,2020-12-21,2020-12-21 23:59:59.999,ETH,1d,638.1,607.58,648.0,595.9,843251.16565,521589
125,2020-12-22,2020-12-22 23:59:59.999,ETH,1d,607.68,636.45,637.73,588.0,918851.25654,522945
126,2020-12-23,2020-12-23 23:59:59.999,ETH,1d,636.41,585.56,638.44,551.28,1208807.36518,733896
127,2020-12-24,2020-12-24 23:59:59.999,ETH,1d,585.48,612.31,615.02,565.43,886335.86333,571510
128,2020-12-25,2020-12-25 23:59:59.999,ETH,1d,612.31,626.82,634.24,604.28,798009.62915,468979
129,2020-12-26,2020-12-26 23:59:59.999,ETH,1d,626.78,637.44,652.91,615.26,958585.50647,541191
130,2020-12-27,2020-12-27 23:59:59.999,ETH,1d,637.44,685.11,717.13,625.0,1859968.15029,1047001
131,2020-12-28,2020-12-28 23:59:59.999,ETH,1d,685.1,730.41,748.09,681.04,1627154.39266,961277
132,2020-12-29,2020-12-29 23:59:59.999,ETH,1d,730.4,732.0,740.78,689.2,1106876.35855,820504
133,2020-12-30,2020-12-30 23:59:59.999,ETH,1d,732.0,752.17,758.74,716.62,1008574.09906,692405
134,2020-12-31,2020-12-31 23:59:59.999,ETH,1d,752.17,736.42,755.74,722.0,863375.57981,623216
135,2021-01-01,2021-01-01 23:59:59.999,ETH,1d,736.42,728.91,749.0,714.29,675114.09329,483671
136,2021-01-02,2021-01-02 23:59:59.999,ETH,1d,728.91,774.56,787.69,714.91,1352618.57668,824134
137,2021-01-03,2021-01-03 23:59:59.999,ETH,1d,774.44,978.28,1011.07,768.71,2813603.88615,1636501
138,2021-01-04,2021-01-04 23:59:59.999,ETH,1d,978.33,1041.43,1162.97,890.0,4245010.94004,2477862
139,2021-01-05,2021-01-05 23:59:59.999,ETH,1d,1041.45,1099.56,1134.6,974.45,2706995.67525,1960503
140,2021-01-06,2021-01-06 23:59:59.999,ETH,1d,1100.16,1208.42,1213.0,1057.26,2390136.59334,1600888
141,2021-01-07,2021-01-07 23:59:59.999,ETH,1d,1208.75,1224.87,1289.0,1131.0,1972922.82059,1402699
142,2021-01-08,2021-01-08 23:59:59.999,ETH,1d,1224.86,1216.93,1273.75,1065.0,2131172.92341,1718817
143,2021-01-09,2021-01-09 23:59:59.999,ETH,1d,1216.72,1276.0,1304.37,1171.36,1448871.11514,1131871
144,2021-01-10,2021-01-10 23:59:59.999,ETH,1d,1276.0,1254.25,1348.33,1170.0,1951179.35003,1437486
145,2021-01-11,2021-01-11 23:59:59.999,ETH,1d,1254.24,1087.01,1260.0,915.0,4099450.90046,2577496
146,2021-01-12,2021-01-12 23:59:59.999,ETH,1d,1087.0,1050.16,1150.02,1006.33,2302645.34052,1516625
147,2021-01-13,2021-01-13 23:59:59.999,ETH,1d,1050.36,1129.89,1137.65,987.48,1564202.39081,1123983
148,2021-01-14,2021-01-14 23:59:59.999,ETH,1d,1129.79,1231.62,1247.55,1086.7,1555737.38556,1255769
149,2021-01-15,2021-01-15 23:59:59.999,ETH,1d,1231.89,1168.53,1256.98,1069.42,1944038.83738,1519266
150,2021-01-16,2021-01-16 23:59:59.999,ETH,1d,1168.48,1227.83,1298.0,1151.77,1575384.43797,1252473
151,2021-01-17,2021-01-17 23:59:59.999,ETH,1d,1227.83,1232.45,1269.02,1165.0,1317285.00579,1121278
152,2021-01-18,2021-01-18 23:59:59.999,ETH,1d,1232.5,1258.45,1260.75,1182.58,998050.11073,940604
153,2021-01-19,2021-01-19 23:59:59.999,ETH,1d,1258.52,1365.36,1438.3,1251.49,2278852.55758,1840481
154,2021-01-20,2021-01-20 23:59:59.999,ETH,1d,1365.36,1376.99,1407.93,1235.42,2219137.62144,1852253
155,2021-01-21,2021-01-21 23:59:59.999,ETH,1d,1376.72,1110.96,1390.0,1086.0,2310208.57298,1864620
156,2021-01-22,2021-01-22 23:59:59.999,ETH,1d,1111.98,1232.62,1273.79,1042.31,2020593.21673,1652010
157,2021-01-23,2021-01-23 23:59:59.999,ETH,1d,1232.61,1233.6,1272.44,1195.9,1009545.08258,932871
158,2021-01-24,2021-01-24 23:59:59.999,ETH,1d,1233.46,1392.51,1398.83,1220.0,1510879.53817,1313986
159,2021-01-25,2021-01-25 23:59:59.999,ETH,1d,1392.19,1317.88,1475.0,1293.69,1885441.31289,1661512
160,2021-01-26,2021-01-26 23:59:59.999,ETH,1d,1317.6,1365.97,1378.49,1244.56,1682923.65799,1423178
161,2021-01-27,2021-01-27 23:59:59.999,ETH,1d,1366.54,1239.03,1373.9,1207.0,2009772.08358,1737296
162,2021-01-28,2021-01-28 23:59:59.999,ETH,1d,1238.93,1329.69,1360.0,1217.23,1365269.71962,1275024
163,2021-01-29,2021-01-29 23:59:59.999,ETH,1d,1329.44,1379.5,1436.9,1285.35,2253963.18682,1714076
164,2021-01-30,2021-01-30 23:59:59.999,ETH,1d,1379.56,1378.05,1406.0,1326.41,1040042.2363,1013174
165,2021-01-31,2021-01-31 23:59:59.999,ETH,1d,1378.04,1312.55,1380.74,1281.12,958704.85571,828176
166,2021-02-01,2021-02-01 23:59:59.999,ETH,1d,1312.45,1374.17,1377.99,1269.99,1096397.91862,915584
167,2021-02-02,2021-02-02 23:59:59.999,ETH,1d,1374.09,1511.87,1547.9,1360.28,1944227.99878,1614541
168,2021-02-03,2021-02-03 23:59:59.999,ETH,1d,1511.93,1664.49,1669.35,1508.39,1535869.88801,1384979
169,2021-02-04,2021-02-04 23:59:59.999,ETH,1d,1664.67,1595.67,1695.2,1554.44,1646502.32962,1507993
170,2021-02-05,2021-02-05 23:59:59.999,ETH,1d,1595.53,1719.19,1760.49,1591.0,1194123.29946,1326415
171,2021-02-06,2021-02-06 23:59:59.999,ETH,1d,1718.95,1676.35,1743.67,1642.94,1149808.33101,1152167
172,2021-02-07,2021-02-07 23:59:59.999,ETH,1d,1676.35,1611.62,1693.0,1490.46,1281734.86814,1263737
173,2021-02-08,2021-02-08 23:59:59.999,ETH,1d,1611.46,1750.15,1775.57,1563.89,1339777.09536,1372788
174,2021-02-09,2021-02-09 23:59:59.999,ETH,1d,1749.68,1769.13,1821.88,1708.49,1185071.89593,1173421
175,2021-02-10,2021-02-10 23:59:59.999,ETH,1d,1769.14,1740.78,1837.86,1680.0,1219932.25474,1279140
176,2021-02-11,2021-02-11 23:59:59.999,ETH,1d,1740.76,1785.62,1819.0,1703.44,735079.82699,935602
177,2021-02-12,2021-02-12 23:59:59.999,ETH,1d,1785.83,1840.26,1864.88,1739.88,909600.20653,996495
178,2021-02-13,2021-02-13 23:59:59.999,ETH,1d,1840.24,1814.96,1871.72,1765.0,767589.07285,853189
179,2021-02-14,2021-02-14 23:59:59.999,ETH,1d,1815.25,1800.42,1850.0,1784.11,675261.77873,714827
180,2021-02-15,2021-02-15 23:59:59.999,ETH,1d,1800.03,1779.25,1835.72,1655.67,1053474.57879,1086589
181,2021-02-16,2021-02-16 23:59:59.999,ETH,1d,1779.33,1781.99,1827.28,1724.0,817493.47513,826125
182,2021-02-17,2021-02-17 23:59:59.999,ETH,1d,1781.99,1849.88,1855.0,1733.01,795711.63311,862461
183,2021-02-18,2021-02-18 23:59:59.999,ETH,1d,1849.7,1939.61,1950.5,1849.69,937227.10191,1053661
184,2021-02-19,2021-02-19 23:59:59.999,ETH,1d,1938.91,1955.0,1972.82,1891.0,793404.4115,988320
185,2021-02-20,2021-02-20 23:59:59.999,ETH,1d,1955.46,1913.0,2042.34,1803.14,1261315.81279,1329067
186,2021-02-21,2021-02-21 23:59:59.999,ETH,1d,1912.9,1933.53,1976.31,1883.01,756568.19743,895138
187,2021-02-22,2021-02-22 23:59:59.999,ETH,1d,1933.54,1777.58,1936.29,1551.0,1807244.98099,1799926
188,2021-02-23,2021-02-23 23:59:59.999,ETH,1d,1777.42,1577.89,1782.39,1355.0,2547837.82068,2396626
189,2021-02-24,2021-02-24 23:59:59.999,ETH,1d,1577.79,1623.39,1712.7,1500.2,1384388.81727,1319936
190,2021-02-25,2021-02-25 23:59:59.999,ETH,1d,1623.16,1481.75,1671.59,1459.16,1032670.79409,1110019
191,2021-02-26,2021-02-26 23:59:59.999,ETH,1d,1482.08,1444.59,1562.25,1400.0,1355973.29378,1298739
192,2021-02-27,2021-02-27 23:59:59.999,ETH,1d,1444.56,1458.13,1529.0,1425.0,927423.0475,954919
193,2021-02-28,2021-02-28 23:59:59.999,ETH,1d,1458.27,1419.18,1468.75,1293.18,1410207.56284,1190546
194,2021-03-01,2021-03-01 23:59:59.999,ETH,1d,1418.67,1569.86,1572.0,1409.91,1094695.17839,989006
195,2021-03-02,2021-03-02 23:59:59.999,ETH,1d,1570.0,1486.78,1602.9,1455.52,1061142.38743,966176
196,2021-03-03,2021-03-03 23:59:59.999,ETH,1d,1486.79,1567.69,1656.94,1475.47,1054846.31471,1237215
197,2021-03-04,2021-03-04 23:59:59.999,ETH,1d,1567.68,1539.23,1624.87,1506.36,946365.67088,1125118
198,2021-03-05,2021-03-05 23:59:59.999,ETH,1d,1539.22,1528.31,1548.96,1441.66,910786.28976,1000913
199,2021-03-06,2021-03-06 23:59:59.999,ETH,1d,1528.08,1650.35,1671.58,1513.03,1013300.93928,1188531
200,2021-03-07,2021-03-07 23:59:59.999,ETH,1d,1650.68,1726.16,1734.16,1630.35,848470.78136,1166072
201,2021-03-08,2021-03-08 23:59:59.999,ETH,1d,1726.46,1833.18,1843.59,1664.96,1149711.39987,1407402
202,2021-03-09,2021-03-09 23:59:59.999,ETH,1d,1833.22,1870.51,1870.77,1798.2,857229.47855,1196670
203,2021-03-10,2021-03-10 23:59:59.999,ETH,1d,1870.5,1795.12,1877.69,1757.0,937230.62831,1098051
204,2021-03-11,2021-03-11 23:59:59.999,ETH,1d,1795.28,1825.78,1846.7,1725.0,909011.4961,1023958
205,2021-03-12,2021-03-12 23:59:59.999,ETH,1d,1825.78,1766.1,1841.88,1719.72,869564.6361,1126153
206,2021-03-13,2021-03-13 23:59:59.999,ETH,1d,1766.13,1922.35,1944.3,1727.75,926283.22642,1265904
207,2021-03-14,2021-03-14 23:59:59.999,ETH,1d,1922.35,1848.1,1933.1,1836.0,637963.63627,963564
208,2021-03-15,2021-03-15 23:59:59.999,ETH,1d,1848.1,1793.48,1891.76,1730.0,1025326.79658,1496415
209,2021-03-16,2021-03-16 23:59:59.999,ETH,1d,1793.99,1805.12,1819.5,1711.68,764993.40147,987906
210,2021-03-17,2021-03-17 23:59:59.999,ETH,1d,1805.01,1823.58,1838.88,1741.18,658349.44843,872416
211,2021-03-18,2021-03-18 23:59:59.999,ETH,1d,1823.58,1776.08,1850.0,1759.04,603721.61056,783517
212,2021-03-19,2021-03-19 23:59:59.999,ETH,1d,1775.92,1809.1,1840.61,1733.47,500258.42875,703977
213,2021-03-20,2021-03-20 23:59:59.999,ETH,1d,1809.01,1806.1,1868.83,1800.86,451556.10639,743672
214,2021-03-21,2021-03-21 23:59:59.999,ETH,1d,1806.57,1782.98,1817.16,1747.0,465953.98749,748800
215,2021-03-22,2021-03-22 23:59:59.999,ETH,1d,1783.23,1680.97,1807.51,1655.15,582727.49081,879976
216,2021-03-23,2021-03-23 23:59:59.999,ETH,1d,1681.17,1668.08,1721.17,1650.0,577213.99589,654415
217,2021-03-24,2021-03-24 23:59:59.999,ETH,1d,1668.2,1581.84,1740.86,1536.92,753834.52393,994542
218,2021-03-25,2021-03-25 23:59:59.999,ETH,1d,1581.88,1585.74,1622.0,1549.4,701697.00258,778215
219,2021-03-26,2021-03-26 23:59:59.999,ETH,1d,1585.83,1698.84,1699.93,1585.79,515470.92907,650812
220,2021-03-27,2021-03-27 23:59:59.999,ETH,1d,1698.84,1712.63,1732.67,1666.41,443845.49957,516929
221,2021-03-28,2021-03-28 23:59:59.999,ETH,1d,1712.52,1687.01,1725.66,1661.4,348895.51314,512231
222,2021-03-29,2021-03-29 23:59:59.999,ETH,1d,1687.16,1816.74,1841.0,1677.85,647724.46387,846836
223,2021-03-30,2021-03-30 23:59:59.999,ETH,1d,1816.76,1840.46,1859.13,1786.3,568842.00526,856093
224,2021-03-31,2021-03-31 23:59:59.999,ETH,1d,1840.41,1919.37,1947.29,1768.15,746995.8591,1040362
225,2021-04-01,2021-04-01 23:59:59.999,ETH,1d,1919.37,1968.05,1984.77,1885.02,741585.07266,994836
226,2021-04-02,2021-04-02 23:59:59.999,ETH,1d,1968.05,2133.69,2146.0,1948.48,846197.93215,1218698
227,2021-04-03,2021-04-03 23:59:59.999,ETH,1d,2133.69,2008.52,2138.12,1996.3,770176.32192,1107620
228,2021-04-04,2021-04-04 23:59:59.999,ETH,1d,2008.59,2075.69,2091.83,1975.24,514345.76554,818926
229,2021-04-05,2021-04-05 23:59:59.999,ETH,1d,2075.7,2107.38,2130.64,2002.15,684923.61494,947978
230,2021-04-06,2021-04-06 23:59:59.999,ETH,1d,2107.43,2112.21,2151.0,2044.65,673386.05575,1106761
231,2021-04-07,2021-04-07 23:59:59.999,ETH,1d,2112.22,1963.47,2129.01,1930.01,892984.90422,1229155
232,2021-04-08,2021-04-08 23:59:59.999,ETH,1d,1963.46,2080.46,2084.61,1947.35,501355.998,911403
233,2021-04-09,2021-04-09 23:59:59.999,ETH,1d,2080.39,2066.87,2100.0,2047.57,426387.4379,645172
234,2021-04-10,2021-04-10 23:59:59.999,ETH,1d,2067.19,2133.49,2200.0,2058.0,655458.20894,1175161
235,2021-04-11,2021-04-11 23:59:59.999,ETH,1d,2133.49,2151.36,2165.02,2113.4,392265.50773,830771
236,2021-04-12,2021-04-12 23:59:59.999,ETH,1d,2151.42,2137.69,2203.46,2102.0,579093.35694,914567
237,2021-04-13,2021-04-13 23:59:59.999,ETH,1d,2137.86,2299.19,2318.0,2135.53,782608.6209,1288668
238,2021-04-14,2021-04-14 23:59:59.999,ETH,1d,2299.19,2432.6,2447.29,2281.33,972931.60866,1554097
